Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,AFG,Afghanistan,1,9.05633576035174,643,1292,2395,101
,IRQ,Iraq,2,8.69925914654552,637,464,748,32
,SOM,Somalia,3,8.48952265721841,344,671,491,4
,NGA,Nigeria,4,8.43495388741253,142,865,204,419
,SYR,Syria,5,8.31513238216964,450,746,1076,15
,BFA,Burkina Faso,6,8.12039247163553,193,666,187,35
,MLI,Mali,7,7.92538497976542,222,404,398,93
,PAK,Pakistan,8,7.91604572205567,173,263,583,9
,MOZ,Mozambique,9,7.88170283192082,198,564,173,219
,IND,India,10,7.66932330328139,316,172,212,20
,CMR,Cameroon,11,7.63202199715208,119,222,104,130
,NER,Niger,12,7.41772140630253,69,262,203,115
,EGY,Egypt,13,7.30914467764534,112,119,99,17
,COL,Colombia,14,7.3088492241765,184,156,89,27
,PHL,Philippines,15,7.08055384570547,112,98,188,2
,TCD,Chad,16,6.65034191228531,11,143,100,11
,TUR,Turkey,17,6.48419827648613,16,17,14,2
,KEN,Kenya,18,6.37153760454849,43,46,53,1
,THA,Thailand,19,6.17890593511953,24,14,76,0
,YEM,Yemen,20,6.15868362248814,3,4,0,1
,LKA,Democratic Republic of the Congo,21,6.07262824700634,18,96,10,5
,COD,Sri Lanka,22,6.03615498474211,0,0,0,0
,CHL,Chile,23,5.98733043898687,198,6,26,0
,MMR,Myanmar,24,5.93476970087857,26,24,22,30
,LBY,Libya,25,5.63336071722287,6,1,4,0
,USA,Iran,26,5.61810004144917,10,14,8,0
,IRN,United States of America,27,5.53287983711359,9,2,13,0
,IDN,Indonesia,28,5.37659074144044,21,13,22,0
,FRA,Nepal,29,5.25192211974915,29,5,0,0
,NPL,France,30,5.24572286528189,25,7,12,0
,GBR,Germany,31,5.12463702233883,28,11,21,0
,DEU,United Kingdom,32,5.0212772833144,14,3,10,0
,PSE,Palestine,33,4.97916197159738,21,0,7,0
,ISR,Israel,34,4.95982694051132,20,1,18,0
,NZL,New Zealand,35,4.89307048725215,0,0,0,0
,TZA,Tanzania,36,4.82334712093645,5,22,0,0
,TUN,Tunisia,37,4.74964515540745,6,3,5,6
,RUS,Greece,38,4.69107392569564,43,0,0,0
,GRC,Russia,39,4.68418616304246,6,7,2,0
,TJK,Tajikistan,40,4.57760922704372,0,0,0,0
,BGD,Bangladesh,41,4.41715322602006,5,1,19,1
,ETH,Ethiopia,42,4.35254189906619,1,0,29,0
,DZA,Algeria,43,4.32621263475475,2,3,0,0
,CIV,Cote d' Ivoire,44,4.27780747875347,2,11,8,0
,LBN,Lebanon,45,4.09658618255907,3,5,0,0
,VEN,Canada,46,4.0105930694706,4,3,1,0
,ITA,Venezuela,47,3.9894065053194,2,0,0,0
,CAN,Italy,48,3.94901292377567,6,0,0,0
,SAU,Saudi Arabia,49,3.8560981851493,4,0,6,0
,AUT,Austria,50,3.80348278701482,1,4,22,0
,BEL,Belgium,51,3.58020124882344,0,0,0,0
,ESP,Spain,52,3.44321295588794,0,0,0,0
,JOR,Jordan,53,3.426926367279,0,0,0,0
,ECU,Ecuador,54,3.34417397726558,0,0,0,0
,PER,Peru,55,3.2072396882827,0,0,0,0
,BDI,Burundi,56,3.14575648301092,0,0,0,0
,MEX,Switzerland,57,3.09418176981569,6,1,2,0
,AUS,Mexico,58,3.02897814524368,0,0,0,0
,UKR,Australia,59,3.02112823692736,1,2,0,0
,PRY,Netherlands,60,3.00252983635947,1,0,0,0
,MYS,Ukraine,61,2.958454448642,1,0,0,0
,CHE,Paraguay,62,2.91201148846255,2,0,0,1
,BHR,Bahrain,63,2.61624841221485,0,0,0,0
,CHN,China,64,2.56434529984762,0,0,0,0
,CAF,Malaysia,65,2.53256457890395,1,0,0,5
,ARG,Central African Republic,66,2.46025571485066,0,0,0,0
,SWE,Argentina,67,2.42954980425527,0,0,0,0
,SEN,Sweden,68,2.16322253728063,0,0,0,0
,MDG,Senegal,69,2.10457007854592,0,0,0,0
,JPN,Madagascar,70,2.02517561733704,0,0,0,0
,LAO,Japan,71,1.97378670117656,0,0,0,0
,BEN,Laos,72,1.96491695885921,0,0,0,0
,NLD,Benin,73,1.90014288467225,0,0,0,0
,URY,Uruguay,74,1.81963900407464,2,0,0,0
,KAZ,Kazakhstan,75,1.75392697719821,0,0,0,0
,RWA,Rwanda,76,1.73086448260274,0,0,0,0
,ZAF,South Africa,76,1.73086448260274,0,0,0,0
,MAR,Morocco,78,1.63192329244602,0,0,0,0
,NOR,Norway,79,1.5778561694534,0,0,0,0
,IRL,Romania,80,1.52018198264983,0,0,0,0
,ROU,Finland,81,1.45838482119566,0,0,0,0
,FIN,Brazil,82,1.42574727634863,0,0,0,0
,BRA,Cyprus,83,1.39182950581271,1,0,0,0
,CYP,Sudan,84,1.31972173286483,0,0,0,0
,LTU,Lithuania,85,1.24105004001805,0,0,0,0
,KSV,Kosovo,86,0.950071442336124,0,0,0,0
,MRT,Ireland,87,0.890406938670335,0,0,0,0
,VNM,Mauritania,88,0.826318935360223,0,0,0,0
,AGO,Vietnam,89,0.681851850109894,0,0,0,0
,CZE,Czech Republic,90,0.59942834098841,0,0,0,0
,DNK,Angola,91,0.508313378859537,0,0,0,0
,GAB,Denmark,91,0.508313378859537,0,0,0,0
,SDN,Gabon,91,0.508313378859537,0,0,0,0
,GEO,Georgia,94,0.458883222981342,0,0,0,0
,KGZ,Kyrgyz Republic,94,0.458883222981342,0,0,0,0
,TWN,Taiwan,96,0.406455517152519,0,0,0,0
,HUN,Hungary,97,0.290978597681926,0,0,0,0
,POL,Macedonia (FYR),97,0.290978597681926,0,0,0,0
,ARM,Poland,99,0.226890594371813,0,0,0,0
,AZE,Armenia,100,0.157670277511823,0,0,0,0
,KWT,Azerbaijan,100,0.157670277511823,0,0,0,0
,MDA,Kuwait,100,0.157670277511823,0,0,0,0
,MUS,Moldova,100,0.157670277511823,0,0,0,0
,UGA,Mauritius,100,0.157670277511823,0,0,0,0
,TGO,Uganda,105,0.0,0,0,0,0
,ALB,Togo,105,0.0,0,0,0,0
,ARE,Albania,105,0.0,0,0,0,0
,BGR,United Arab Emirates,105,0.0,0,0,0,0
,BIH,Bulgaria,105,0.0,0,0,0,0
,BLR,Bosnia and Herzegovina,105,0.0,0,0,0,0
,BOL,Belarus,105,0.0,0,0,0,0
,BTN,Bolivia,105,0.0,0,0,0,0
,BWA,Bhutan,105,0.0,0,0,0,0
,COG,Botswana,105,0.0,0,0,0,0
,CRI,Republic of the Congo,105,0.0,0,0,0,0
,CUB,Costa Rica,105,0.0,0,0,0,0
,DJI,Cuba,105,0.0,0,0,0,0
,DOM,Djibouti,105,0.0,0,0,0,0
,ERI,Dominican Republic,105,0.0,0,0,0,0
,EST,Eritrea,105,0.0,0,0,0,0
,GHA,Estonia,105,0.0,0,0,0,0
,GIN,Ghana,105,0.0,0,0,0,0
,GMB,Guinea,105,0.0,0,0,0,0
,GNB,The Gambia,105,0.0,0,0,0,0
,GNQ,Guinea-Bissau,105,0.0,0,0,0,0
,GTM,Equatorial Guinea,105,0.0,0,0,0,0
,GUY,Guatemala,105,0.0,0,0,0,0
,HND,Guyana,105,0.0,0,0,0,0
,HRV,Honduras,105,0.0,0,0,0,0
,HTI,Croatia,105,0.0,0,0,0,0
,ISL,Haiti,105,0.0,0,0,0,0
,JAM,Iceland,105,0.0,0,0,0,0
,KHM,Jamaica,105,0.0,0,0,0,0
,KOR,Cambodia,105,0.0,0,0,0,0
,LBR,South Korea,105,0.0,0,0,0,0
,LSO,Liberia,105,0.0,0,0,0,0
,LVA,Lesotho,105,0.0,0,0,0,0
,MKD,Latvia,105,0.0,0,0,0,0
,MNE,Montenegro,105,0.0,0,0,0,0
,MNG,Mongolia,105,0.0,0,0,0,0
,MWI,Malawi,105,0.0,0,0,0,0
,NAM,Namibia,105,0.0,0,0,0,0
,NIC,Nicaragua,105,0.0,0,0,0,0
,OMN,Oman,105,0.0,0,0,0,0
,PAN,Panama,105,0.0,0,0,0,0
,PNG,Papua New Guinea,105,0.0,0,0,0,0
,PRK,North Korea,105,0.0,0,0,0,0
,PRT,Portugal,105,0.0,0,0,0,0
,QAT,Qatar,105,0.0,0,0,0,0
,SGP,Singapore,105,0.0,0,0,0,0
,SLE,Sierra Leone,105,0.0,0,0,0,0
,SLV,El Salvador,105,0.0,0,0,0,0
,SRB,Serbia,105,0.0,0,0,0,0
,SSD,South Sudan,105,0.0,0,0,0,0
,SVK,Slovakia,105,0.0,0,0,0,0
,SVN,Slovenia,105,0.0,0,0,0,0
,SWZ,Eswatini,105,0.0,0,0,0,0
,TKM,Turkmenistan,105,0.0,0,0,0,0
,TLS,Timor-Leste,105,0.0,0,0,0,0
,TTO,Trinidad and Tobago,105,0.0,0,0,0,0
,UZB,Uzbekistan,105,0.0,0,0,0,0
,ZMB,Zambia,105,0.0,0,0,0,0
,ZWE,Zimbabwe,105,0.0,0,0,0,0
