Country,Iso3c,2012 Rank,2012 Score,2013 Rank,2013 Score,2014 Rank,2014 Score,2015 Rank,2015 Score,2016 Rank,2016 Score,2017 Rank,2017 Score,2018 Rank,2018 Score,2019 Rank,2019 Score,2020 Rank,2020 Score,2021 Rank,2021 Score,2022 Rank,2022 Score
Afghanistan,AFG,3,9.13426455513087,3,8.93545785580996,4,8.89986138304745,3,8.86429401205157,3,8.71357321104664,2,8.8521582567026,2,9.06652891816506,1,9.03900560514346,1,9.05633576035174,1,9.1300885941401,1,8.82224371341993
Albania,ALB,97,0.826318935360223,99,0.508313378859537,105,0.226890594371813,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Algeria,DZA,14,6.69568220841263,16,6.4762539660373,20,6.12956806847972,26,5.79474063381594,32,5.34550439395086,37,5.03290622091392,36,5.11301641890588,39,4.75106868214026,43,4.32621263475475,40,4.42600161438672,37,4.0828347785778
Angola,AGO,72,2.36465995360453,82,1.65773990495816,74,2.01682007122644,90,1.24105004001805,95,0.826318935360223,102,0.508313378859537,90,1.31972173286483,96,0.826318935360223,91,0.508313378859537,89,0.290978597681926,90,0.157670277511823
Argentina,ARG,63,2.81089881619837,66,2.58199473478214,75,1.99125784680112,94,1.1544986362098,87,1.45838482119566,61,3.11329397961675,60,3.39340308878743,63,3.00252983635947,67,2.42954980425527,57,2.77321873639432,57,2.87546553100419
Armenia,ARM,111,0.157670277511823,110,0.0,110,0.0,106,0.0,88,1.24105004001805,96,0.826318935360223,103,0.508313378859537,105,0.290978597681926,100,0.157670277511823,96,0.0,93,0.0
Australia,AUS,112,0.0,110,0.0,66,2.72646182003247,66,2.78365901162542,70,2.63287954583076,64,2.90000029128283,66,3.08933698238307,67,2.62460395832545,59,3.02112823692736,61,2.4347437675856,69,1.83012146326686
Austria,AUT,87,1.52018198264983,91,1.03249495145761,110,0.0,106,0.0,62,3.1411929246903,69,2.56434529984762,76,2.34190094814883,82,1.79828502296523,50,3.80348278701482,53,3.25666984416089,61,2.67703166415428
Azerbaijan,AZE,69,2.40845626353178,83,1.52018198264983,90,1.05831156396975,100,0.681851850109894,88,1.24105004001805,96,0.826318935360223,103,0.508313378859537,105,0.290978597681926,100,0.157670277511823,96,0.0,93,0.0
Bahrain,BHR,49,3.82137931006798,35,4.48890517334813,27,4.86982855993835,39,4.50512348542946,49,4.38409302128929,45,4.58539630382567,52,3.95260127869559,61,3.25064339263054,63,2.61624841221485,65,2.14169132647598,79,0.826318935360223
Bangladesh,BGD,37,4.45352237160245,34,4.52057916122092,37,4.185120352987,30,5.40643166399286,29,5.75088630166082,30,5.59361878389931,38,5.03316287391919,40,4.75071302007688,41,4.41715322602006,41,4.40556631060767,43,3.82657327339831
Belarus,BLR,36,4.56711616854283,44,3.94901292377567,56,3.35852770586791,67,2.77321873639432,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Belgium,BEL,97,0.826318935360223,99,0.508313378859537,60,3.07463760930735,68,2.76265087826904,27,5.77363658729867,33,5.21943783893352,43,4.77871359780948,48,4.17548851743813,51,3.58020124882344,70,1.74247260716042,59,2.76265087826904
Benin,BEN,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,71,2.45014106978246,73,1.90014288467225,51,3.59926830800999,28,4.83954827469584
Bhutan,BTN,85,1.71909841953764,105,0.290978597681926,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Bolivia,BOL,94,0.950071442336124,97,0.555070295221389,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Bosnia and Herzegovina,BIH,80,1.97378670117656,77,1.84047838100646,84,1.33832013343272,53,3.41367258609737,65,2.82420357546861,73,2.25716824594657,84,1.70717006083636,91,1.22021066308623,105,0.0,96,0.0,93,0.0
Botswana,BWA,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Brazil,BRA,97,0.826318935360223,99,0.508313378859537,100,0.290978597681926,82,1.73086448260274,79,1.73086448260274,89,1.24105004001805,87,1.52018198264983,80,1.97378670117656,82,1.42574727634863,83,0.950071442336124,85,0.59942834098841
Bulgaria,BGR,42,4.25476159577154,50,3.66162268101367,60,3.07463760930735,70,2.49957122566066,77,1.93774847442113,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Burkina Faso,BFA,112,0.0,110,0.0,110,0.0,52,3.47177749998986,30,5.61260262981011,21,6.21922290401884,15,6.85242626239726,7,7.89344984942426,6,8.12039247163553,4,8.28114030504626,2,8.56410076490047
Burundi,BDI,32,4.73527950455555,40,4.13802128338827,52,3.53352083228869,36,5.14944134344709,44,4.52197062136812,35,5.15190545992944,46,4.55471114832839,52,3.95973362671119,56,3.14575648301092,33,4.71661024744486,39,4.05067099518611
Cambodia,KHM,81,1.95595530047705,85,1.42574727634863,92,0.950071442336124,102,0.59942834098841,105,0.350643101347714,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Cameroon,CMR,58,3.23024640242245,58,3.07956521406353,19,6.17644661419383,11,7.39473460823085,11,7.26428118958749,12,7.27404596614114,10,7.62365657909601,10,7.78472109147061,11,7.63202199715208,12,7.46686111064486,11,7.34700163766975
Canada,CAN,95,0.890406938670335,104,0.406455517152519,62,2.88781991675726,71,2.48990864139466,67,2.74111966746439,49,4.24587883819641,44,4.71438712978121,49,4.13585116356714,46,4.0105930694706,48,3.93724686071058,54,3.2745012448604
Central African Republic,CAF,44,4.1727167448893,51,3.58020124882344,39,4.0546580575501,35,5.17224404845533,33,5.29771365523647,43,4.69752904634248,51,4.10187544855768,59,3.47333708976316,66,2.46025571485066,67,1.90014288467225,55,3.19442771624724
Chad,TCD,91,1.05831156396975,94,0.681851850109894,99,0.406455517152519,17,6.73697617802325,20,6.27714069428737,24,5.81492634488469,25,5.83668069163132,22,6.2345819053111,16,6.65034191228531,19,6.37022631954378,19,6.16778349284037
Chile,CHL,64,2.80416888110616,56,3.2281799921324,40,3.94540961733375,47,3.85107906313869,51,4.13729851502617,46,4.5293541650032,35,5.12255680467022,29,5.48370374049129,23,5.98733043898687,18,6.53446940601174,17,6.61929857272643
China,CHN,30,5.01001714885673,27,4.98623486401738,18,6.2751289105221,21,6.61860137452806,22,6.05493825411348,28,5.62317367758944,39,5.01133402484579,47,4.17894078667315,64,2.56434529984762,68,1.86082737386225,93,0.0
Colombia,COL,12,7.38634935001642,10,7.37883637465365,12,7.1276575005323,15,7.10230659183214,17,6.82186820391618,16,6.73797742624366,14,7.05932490894607,12,7.35447977058492,14,7.3088492241765,14,7.0875954259929,15,6.69691979598402
Costa Rica,CRI,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Cote d' Ivoire,CIV,43,4.23947768169506,43,3.98078437711825,55,3.38997816433099,64,2.80754039529825,41,4.77974618574698,52,4.15589691559407,59,3.5493625995793,64,2.96408829459294,44,4.27780747875347,43,4.30384099427526,47,3.74745760400636
Croatia,HRV,112,0.0,83,1.52018198264983,90,1.05831156396975,100,0.681851850109894,104,0.406455517152519,107,0.226890594371813,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Cuba,CUB,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
